politician,country,birth date,death date,political party,gender,Instagram followers,Instagram link,X followers,X link
Mi He Lun Sha A Bu Du,China,1985.0,,,female,,,,
Li Xin Rong,China,1985.0,,,female,,,,
Romanova Anna Anatoliyivna,Ukraine,1985.0,,Fraktsiia Politichnoyi Partiyi Ob Iednannia Samopomich (Ukraine),female,,,,
Ivana Dinic,Serbia,1985.0,,Socialist Party Of Serbia (Serbia),female,,,,
Maria Guadalupe Velazquez Diaz,Mexico,1985.0,,Partido Revolucionario Institucional (Mexico),female,,,,
Tania Margarita Morgan Navarrete,Mexico,1985.0,,Partido Accion Nacional (Mexico),female,,,,
Sigrid Maurer,Austria,1985.0,,Grune (Austria),female,,,49682.0,sigi_maurer
Lea Wermelin,Denmark,1985.0,,The Social Democratic Party (Denmark),female,,,,leawermelin
Sara Karlsson,Sweden,1985.0,,Socialdemokraterna (Sweden),female,,,3426.0,SaraKarlsson85
Dimitriou Annita,Cyprus,1985.0,,Democratic Rally (Cyprus),female,,,17908.0,AnnitaDemetriou
Ricciatti Lara,Italy,1985.0,,Sinistra Italiana Sinistra Ecologia Liberta (Italy),female,,,2984.0,LaraRicciatti
Arellano Gaby Andreina,Venezuela,1985.0,,MUD (Venezuela),female,,,,
Sandra Daniela Castro,Argentina,1985.0,,Frente Para La Victoria Pj (Argentina),female,,,,
Lilian Marijnissen,Netherlands,1985.0,,SP (Netherlands),female,,,,marijnissenl
Byr Lsyd Mhmwd Hnf,Egypt,1985.0,,Mstql (Egypt),female,,,,
Fiona Lazaar,France,1985.0,,En Marche (France),female,,,,fionalazaar
Isabel Franco Carmona,Spain,1985.0,,G.p. Podemos En Comu Podem En Marea (Spain),female,,,,IsabelPodemos
Chimienti Silvia,Italy,1985.0,,Movimento 5 Stelle (Italy),female,,,8984.0,silviachimienti
Stanislava Krasimirova Stoianova,Bulgaria,1985.0,,Parliamentary Group Of Pp Gerb (Bulgaria),female,,,,
Katarina Csefalvayova,Slovak Republic,1985.0,,SIET (Slovakia),female,,,,
Delphine O,France,1985.0,,,female,,,9940.0,odelphine
Elvan Korkmaz,Germany,1985.0,,Social Democratic Party Of Germany (Germany),female,,,,
Marta Kubiak,Poland,1985.0,,Klub Parlamentarny Prawo I Sprawiedliwosc (Poland),female,,,,
Marta Golbik,Poland,1985.0,,Klub Parlamentarny Platforma Obywatelska (Poland),female,,,,
Alice Thourot,France,1985.0,,En Marche (France),female,,,,AliceThourot
Cat Smith,United Kingdom,1985.0,,Labour (United Kingdom),female,,,45142.0,CatSmithMP
Ayse Acar Basaran,Turkey,1985.0,,Halklarin Demokratik Partisi (Turkey),female,,,146423.0,ayseacar_b
Skye Kakoschke Moore,Australia,1985.0,,Nick Xenophon Team (Australia),female,,,,SenatorSkye
Amelie De Montchalin,France,1985.0,,En Marche (France),female,,,,ademontchalin
Spessotto Arianna,Italy,1985.0,,Movimento 5 Stelle (Italy),female,,,,Spessotto_M5S
Carla Lockhart,United Kingdom,1985.0,,DUP (United Kingdom),female,,,14102.0,carlalockhart
Mariana Elizabet Morales,Argentina,1985.0,,Federal Unidos Por Una Nueva Argentina (Argentina),female,,,,
Sanna Marin,Finland,1985.0,,Social Democratic Party (Finland),female,387000.0,sannamarin/,184000.0,MarinSanna
"Rawat, Smt. Priyanka Singh",India,1985.0,,Bharatiya Janata Party (India),female,,,,
Agnieszka Brugger,Germany,1985.0,,Alliance 90 The Greens (Germany),female,,,17045.0,agnieszka_mdb
Maria Ferm,Sweden,1985.0,,Miljopartiet De Grona (Sweden),female,,,,mariaferm
Kalina Venelinova Krumova,Bulgaria,1985.0,,Ataka Party (Bulgaria),female,,,,
Elaine Michaud,Canada,1985.0,,NDP (Canada),female,,,82.0,emichaudNPD
Maria Martisella Gonzalez,Andorra,1985.0,,Democrata (Andorra),female,,,,
Tentori Veronica,Italy,1985.0,,Partito Democratico (Italy),female,,,2065.0,VeronicaTentori
Aristeidou Mariella,Cyprus,1985.0,,Democratic Rally (Cyprus),female,,,,
Sara Carreno Valero,Spain,1985.0,,G.p. Podemos En Comu Podem En Marea (Spain),female,,,2813.0,Saracarrenov
Sandra Petrovic Jakovina,Croatia,1985.0,,SDP (Croatia),female,,,,
Culotta Magda,Italy,1985.0,,Partito Democratico (Italy),female,,,2929.0,MagdaCulotta
Tina Ghasemi Liljekvist,Sweden,1985.0,,Moderata Samlingspartiet (Sweden),female,,,1795.0,TinaGhasemi
Liuzzi Mirella,Italy,1985.0,,Movimento 5 Stelle (Italy),female,,,13332.0,mirellaliuzzi
Noelia Vera Ruiz Herrera,Spain,1985.0,,G.p. Podemos En Comu Podem En Marea (Spain),female,,,0.0,VeraNoelia
Jiang Nong,China,1985.0,,,female,,,,
Sarah Glerup,Denmark,1985.0,,The Red Green Alliance (Denmark),female,,,597.0,sarah_glerup
Rangina Kargar Faryab,Afghanistan,1985.0,,,female,,,,
Marie Claude Morin,Canada,1985.0,,NDP (Canada),female,,,,MC_Morin_NPD
Maria Emilia Soria,Argentina,1985.0,,Frente Para La Victoria Pj (Argentina),female,,,,maemiliasoria
Stav Shafir,Israel,1985.0,,Zionist Camp (Israel),female,,,185284.0,StavShaffir
Akosita Lavulavu,Tonga,1985.0,,,female,,,,
Zivka Park,France,1985.0,,En Marche (France),female,,,,zivkapark2017
Isabelle Morin,Canada,1985.0,,NDP (Canada),female,,,,IsabelleMorinMP
Liang Li Nuo,China,1985.0,,,female,,,,
Zainabu Mussa Bakar,Tanzania,1985.0,,Chama Cha Demokrasia Na Maendeleo (Tanzania),female,,,,
Marija Puh,Croatia,1985.0,,HNS (Croatia),female,,,,
Laura Smith,United Kingdom,1985.0,,Labour (United Kingdom),female,,,,laurasmithmp
Aina Vidal Saez,Spain,1985.0,,G.p. Podemos En Comu Podem En Marea (Spain),female,,,,ainavs
Nooshi Dadgostar,Sweden,1985.0,,Vansterpartiet (Sweden),female,,,,nooshiit
Maria Ndilla Kangoye,Tanzania,1985.0,,Chama Cha Mapinduzi (Tanzania),female,,,,
Anna Wallentheim,Sweden,1985.0,,Socialdemokraterna (Sweden),female,,,718.0,walleannas
Tess Burton,Luxembourg,1985.0,,LSAP (Luxembourg),female,,,,
Joyce Vermue,Netherlands,1985.0,,PVDA (Netherlands),female,,,692.0,joycevermue
Gabriela Maria Podasca,Romania,1985.0,,Non Attached (Romania),female,,,,
Kozompoli Amanatidi Panagiota,Greece,1985.0,,Syriza Coalition Of The Radical Left (Greece),female,,,,
Manja Smits,Netherlands,1985.0,,SP (Netherlands),female,,,1231.0,ManjaSmits
Bente Becker,Netherlands,1985.0,,VVD (Netherlands),female,,,12304.0,bentebecker
Christine Teunissen,Netherlands,1985.0,,Partij Voor De Dieren (Netherlands),female,,,,
Luminita Maria Jivan,Romania,1985.0,,PSD (Romania),female,,,,
Maryam Monsef,Canada,1985.0,,Liberal (Canada),female,,,50094.0,MaryamMonsef
Agathopoulou Eirini Eleni,Greece,1985.0,,Syriza Coalition Of The Radical Left (Greece),female,,,,
Laura Ximena Martel Cantu,Mexico,1985.0,,Partido Verde Ecologista (Mexico),female,,,,
Fannette Charvier,France,1984.0,,En Marche (France),female,,,,F_Charvier
Olga Ivanova,Estonia,1984.0,,Estonian Centre Party (Estonia),female,,,,
Alexandrine Latendresse,Canada,1984.0,,NDP (Canada),female,,,,ALatendresseNPD
Belen Hoyo,Spain,1984.0,,G.p. Popular (Spain),female,,,12102.0,BelenHoyo
Ruth Ellen Brosseau,Canada,1984.0,,NDP (Canada),female,,,9633.0,RE_Brosseau
Gloria Elizabeth Nunez Sanchez,Mexico,1984.0,,Partido Revolucionario Institucional (Mexico),female,,,,
Quang Thi Nguyen,Vietnam,1984.0,,,female,,,,
Nasima Razmyar,Finland,1984.0,,Sosialidemokraatit (Finland),female,,,25358.0,NasimaRazmyar
Nguyen Thi Huong Thao,Vietnam,1984.0,,,female,,,,
Lenka Andrysova,Czech Republic,1984.0,,Poslanecky Klub Veci Verejne (Czech Republic),female,,,,
Kiritapu Allan,New Zealand,1984.0,,Labour Party (New Zealand),female,,,15327.0,KiriAllan
Meri Lazarova,North Macedonia,1984.0,,Social Democratic Union Of Macedonia (North Macedonia),female,,,,
Xochitl Torres Small,United States,1984.0,,Democrat (United States),female,,reptorressmall,17163.0,RepTorresSmall
Ishikawa Kaori,Japan,1984.0,,CDP (Japan),female,,,8095.0,IshikawaKaori11
Cecilie Myrseth,Norway,1984.0,,Arbeiderpartiet (Norway),female,,,,
Teresa Carvalho,Sweden,1984.0,,Socialdemokraterna (Sweden),female,,,1040.0,TeresaCarvalho
Elise M. Stefanik,United States,1984.0,,Republican (United States),female,,,467495.0,RepStefanik
Pini Giuditta,Italy,1984.0,,Partito Democratico (Italy),female,,,,piccolapini
Pamela Nash,United Kingdom,1984.0,,Labour (United Kingdom),female,,,8609.0,pamela_nash
Narduolo Giulia,Italy,1984.0,,Partito Democratico (Italy),female,,,2532.0,GNarduolo
Analuz Ailen Carol,Argentina,1984.0,,Frente Para La Victoria Pj (Argentina),female,,,6826.0,AnaluzCarol
Di Vita Giulia,Italy,1984.0,,Movimento 5 Stelle (Italy),female,,,41425.0,GiuliaDiVita
Dadone Fabiana,Italy,1984.0,,Movimento 5 Stelle (Italy),female,,,19859.0,DadoneFabiana
Johanne Schmidt Nielsen,Denmark,1984.0,,The Red Green Alliance (Denmark),female,,,,
Veronica Lindholm,Sweden,1984.0,,Socialdemokraterna (Sweden),female,,,413.0,VeronicaLindhol
Cancelleri Azzurra Pia Maria,Italy,1984.0,,Movimento 5 Stelle (Italy),female,,,10451.0,Azzurra_C
Bonomo Francesca,Italy,1984.0,,Partito Democratico (Italy),female,,,4426.0,FraBonomo
Silje Hjemdal,Norway,1984.0,,Fremskrittspartiet (Norway),female,,,,
Michelle Donelan,United Kingdom,1984.0,,Conservative (United Kingdom),female,,,35456.0,michelledonelan
Anna Ljunggren,Norway,1984.0,,Arbeiderpartiet (Norway),female,,,,
Karianne O. Tung,Norway,1984.0,,Arbeiderpartiet (Norway),female,,,,
Anabel Fernandez Sagasti,Argentina,1984.0,,Alianza Frente Para La Victoria (Argentina),female,,,378.0,afernandezk
Stine Renate Haheim,Norway,1984.0,,Arbeiderpartiet (Norway),female,,,,
Sharren Haskel,Israel,1984.0,,Likud (Israel),female,,,33708.0,SharrenHaskel
Marie Wickberg,Sweden,1984.0,,Centerpartiet (Sweden),female,,,,
Pernille Skipper,Denmark,1984.0,,The Red Green Alliance (Denmark),female,,,,PSkipperEL
Julia Dockerill,United Kingdom,1984.0,,Conservative (United Kingdom),female,,,9630.0,JuliaLopezMP
Nd Ntr Khl Hmzh Ml,Iraq,1984.0,,Lhzb Ldymwqrty Lkwrdstny (Iraq),female,,,,
Inna Supac,Moldova,1984.0,,Fractiunea Partidului Comunistilor Din Republica Moldova (Moldova),female,,,,
Drg. Putih Sari,Indonesia,1984.0,,Great Indonesia Movement Party Faction (Indonesia),female,,,,
Juliane Henningsen,Denmark,1984.0,,Inuit Ataqatigiit (Denmark),female,,,,
Julie Rademacher,Denmark,1984.0,,The Social Democratic Party (Denmark),female,,,,
"Saren, Dr. Uma",India,1984.0,,All India Trinamool Congress (India),female,,,,
Nanna Westerby Jensen,Denmark,1984.0,,Socialistisk Folkeparti (Denmark),female,,,,
"Heringes, Anita",Hungary,1984.0,,MSZP (Hungary),female,,,,
Liu Lei,China,1984.0,,,female,,,,
Alicia Guadalupe Gamboa Martinez,Mexico,1984.0,,Partido Revolucionario Institucional (Mexico),female,,,,
Ana Oliveira,Portugal,1984.0,,PSD (Portugal),female,,,,
Randi Vestergaard Evaldsen,Denmark,1984.0,,Demokraatit (Greenland),female,,,,
Maria Manuel Rola,Portugal,1984.0,,BE (Portugal),female,,,,
Xian Run Xia,China,1984.0,,,female,,,,
Susan Namaganda,Uganda,1984.0,,Democrat United States (Uganda),female,,,,
Melissa Torres Sandoval,Mexico,1984.0,,Encuentro Social (Mexico),female,,,,
Gkara Anastasia Natasa,Greece,1984.0,,Syriza Coalition Of The Radical Left (Greece),female,,,,
Barbara Oundo Nekesa,Uganda,1984.0,,National Resistance Movement (Uganda),female,,,,
Diana Gutjahr,Switzerland,1984.0,,V (Switzerland),female,,,,
Persis Namuganza,Uganda,1984.0,,National Resistance Movement (Uganda),female,,,,
Alexandra Presura,Romania,1984.0,,PSD (Romania),female,,,,
Esthela Liliana Acero Lanchimba,Ecuador,1984.0,,Alianza Pais (Ecuador),female,,,,esthelaacerol
Cristina Madalina Pruna,Romania,1984.0,,USR (Romania),female,,,,
Eliza Madalina Stefanescu,Romania,1984.0,,PSD (Romania),female,,,,
Renate Hufkens,Belgium,1984.0,,New Flemish Alliance (Belgium),female,,,,
Evelyn Anite,Uganda,1984.0,,National Resistance Movement (Uganda),female,,,105.0,Aniteevelyn
Kozhevnikova Mariia Aleksandrovna,Russia,1984.0,,Edinaia Rossiia (Russia),female,,,809610.0,makozhevnikova
Pelin Gundes Bakir,Turkey,1984.0,,Adalet Ve Kalkinma Partisi (Turkey),female,,,77463.0,gundesbakir
Siobhan Mcmahon,United Kingdom,1984.0,,Labour (United Kingdom),female,,,,
Ana Stevanovic,Serbia,1984.0,,Enough Is Enough (Serbia),female,,,,stevanovicana7
Yu Xiu Zhi,China,1984.0,,,female,,,,
Nadine Masshardt,Switzerland,1984.0,,S (Switzerland),female,,,4536.0,nmasshardt
Yvonne Ploetz,Germany,1984.0,,Die Linke (Germany),female,,,,
Kveta Matusovska,Czech Republic,1984.0,,Poslanecky Klub Komunisticke Strany Cech A Moravy (Czech Republic),female,,,,
Maria Teresa Jimenez Esquivel,Mexico,1984.0,,Partido Accion Nacional (Mexico),female,,,,
Sheridan,Brazil,1984.0,,PSDB (Brazil),female,,,,
Julia Obermeier,Germany,1984.0,,CSU (Germany),female,,,2608.0,Julia_Obermeier
Dyn Bd L Zyz Mhmd Lsyd,Egypt,1984.0,,Mstql (Egypt),female,,,,
Wiebke Esdar,Germany,1984.0,,Social Democratic Party Of Germany (Germany),female,,,,
Sylfy Nbyl Lwys Sydhm,Egypt,1984.0,,Lmsryyn Lhrr (Egypt),female,,,,
Luise Amtsberg,Germany,1984.0,,Alliance 90 The Greens (Germany),female,,,,Luise_Amtsberg
Katharina Droge,Germany,1984.0,,Alliance 90 The Greens (Germany),female,,,14676.0,katdro
Daniela Iordanova Panaiotova,Bulgaria,1984.0,,Political Party Gerb (Bulgaria),female,,,,
Rosane Dore Lefebvre,Canada,1984.0,,NDP (Canada),female,,,2665.0,RosaneDL
Imen Ben Mhamed,Tunisia,1984.0,,Mouvement Ennahdha (Tunisia),female,,,10020.0,ImenBenMohamed
Marketa Pekarova Adamova,Czech Republic,1984.0,,Poslanecky Klub Top 09 A Starostove (Czech Republic),female,,,,
Stieneke Van Der Graaf,Netherlands,1984.0,,Christenunie (Netherlands),female,,,,
Lysane Blanchette Lamothe,Canada,1984.0,,NDP (Canada),female,,,,
Valeria Faure Muntian,France,1984.0,,En Marche (France),female,,,4550.0,V_Faure_Muntian
Truong Thi Thu Trang,Vietnam,1984.0,,,female,,,,
Lise Magnier,France,1984.0,,Les Republicains (France),female,,,3636.0,lise_magnier
Laurianne Rossi,France,1984.0,,En Marche (France),female,,,23094.0,lauriannerossi
Sabreena Hamza Sungura,Tanzania,1984.0,,Chama Cha Demokrasia Na Maendeleo (Tanzania),female,,,,
Oliver Daniel Semuguruka,Tanzania,1984.0,,Chama Cha Mapinduzi (Tanzania),female,,,,
Mboni Mohamed Mhita,Tanzania,1984.0,,Chama Cha Mapinduzi (Tanzania),female,,,,
Ana Marcello Santos,Spain,1984.0,,G.p. Podemos En Comu Podem En Marea (Spain),female,,,9394.0,anamarcelloana
Maria Guadalupe Moctezuma Oviedo,Mexico,1983.0,,Partido De La Revolucion Democratica (Mexico),female,,,,
Emma Kari,Finland,1983.0,,Vihrea Liitto (Finland),female,,,33884.0,EmmaKari
Lyndah Timbigamba,Uganda,1983.0,,National Resistance Movement (Uganda),female,,,,
Phumzile Thelma Van Damme,South Africa,1983.0,,Democratic Alliance (South Africa),female,,,,
Ana Isabel Allende Cano,Mexico,1983.0,,Partido Revolucionario Institucional (Mexico),female,,,,
Francisca Almeida,Portugal,1983.0,,PSD (Portugal),female,,,,
Hannah Bardell,United Kingdom,1983.0,,Scottish National Party (United Kingdom),female,,,,hannahb4livimp
Tinatin Bokuchava,Georgia,1983.0,,The United National Movement (Georgia),female,,,,
Hanna Gunnarsson,Sweden,1983.0,,Vansterpartiet (Sweden),female,,,,
Coralie Dubost,France,1983.0,,En Marche (France),female,,,21833.0,CoDubost
Anatropia Lwehikila Theonest,Tanzania,1983.0,,Chama Cha Demokrasia Na Maendeleo (Tanzania),female,,,,
Scopelliti Rosanna,Italy,1983.0,,Il Popolo Della Liberta Berlusconi Presidente (Italy),female,,,1083.0,ScopelliTweet
Aline Trede,Switzerland,1983.0,,G (Switzerland),female,,,8440.0,alinetrede
Tan Zhi Ping,China,1983.0,,,female,,,,
Kemirembe Rose Julius Lwota,Tanzania,1983.0,,Chama Cha Mapinduzi (Tanzania),female,,,,
Gabrielle Popken,Netherlands,1983.0,,PVV (Netherlands),female,,,2918.0,gjfpopken
Sandra Beckerman,Netherlands,1983.0,,SP (Netherlands),female,,,,sandrabeckerman
Yang Juan Juan,China,1983.0,,,female,,,,
Shm Mws Hmwd Jbr,Iraq,1983.0,,Y Tlf Dwl Lqnwn (Iraq),female,,,,
Kamila Gasiuk Pihowicz,Poland,1983.0,,Klub Poselski Nowoczesna (Poland),female,,,,
Fiona Onasanya,United Kingdom,1983.0,,Labour (United Kingdom),female,,,,FionaOnasanyaMP
Jette F. Christensen,Norway,1983.0,,Arbeiderpartiet (Norway),female,,,,
Hadia Tajik,Norway,1983.0,,Arbeiderpartiet (Norway),female,,,,
Vu Thi Nguyet,Vietnam,1983.0,,,female,,,,
Wang Fang,China,1983.0,,,female,,,,
"Demeter, Marta",Hungary,1983.0,,LMP (Hungary),female,,,,
Asha Mohamed Omar,Tanzania,1983.0,,Chama Cha Mapinduzi (Tanzania),female,,,,
Jenny Bengtsson,Sweden,1983.0,,Vansterpartiet (Sweden),female,,,,
Jennifer O Connell,Canada,1983.0,,Liberal (Canada),female,,,,jenoconnell_
Siu Huong,Vietnam,1983.0,,,female,,,,
Siemtje Moller,Germany,1983.0,,Social Democratic Party Of Germany (Germany),female,,,,
Vi Thi Huong,Vietnam,1983.0,,,female,,,,
Sarah Ryglewski,Germany,1983.0,,Social Democratic Party Of Germany (Germany),female,,,,
Anna Luhrmann,Germany,1983.0,,Bundnis 90 Die Grunen (Germany),female,,,,
Kr Stina Nikolova Taskova,Bulgaria,1983.0,,Parliamentary Group Of Pp Volya (Bulgaria),female,,,,
Sofia Fernandez Castanon,Spain,1983.0,,G.p. Podemos En Comu Podem En Marea (Spain),female,,,39935.0,SofCastanon
Katser Buchkovs Ka Nataliia Volodimirivna,Ukraine,1983.0,,Fraktsiia Politichnoyi Partiyi Narodnii Front (Ukraine),female,,,,
Ulrika Heindorff,Sweden,1983.0,,Moderata Samlingspartiet (Sweden),female,,,,
Christine Moore,Canada,1983.0,,NDP (Canada),female,,,,MooreNpd
Arpine Hovhannisyan,Armenia,1983.0,,Republican (Armenia),female,,,,
Haley M. Stevens,United States,1983.0,,Democrat (United States),female,,,,
Nadine Schon,Germany,1983.0,,Christian Democratic Union (Germany),female,,,11299.0,NadineSchoen
Raya Ibrahim Khamis,Tanzania,1983.0,,Chama Cha Demokrasia Na Maendeleo (Tanzania),female,,,,
Liubomila Stanislavova Stanislavova,Bulgaria,1983.0,,Political Party Gerb (Bulgaria),female,,,,
Riina Sikkut,Estonia,1983.0,,Social Democratic Party (Estonia),female,,,,
Marlene Harpsoe,Denmark,1983.0,,The Danish People S Party (Denmark),female,,,,MarleneHARPSOEE
Anna Christmann,Germany,1983.0,,Alliance 90 The Greens (Germany),female,,,,
Bruna Furlan,Brazil,1983.0,,PSDB (Brazil),female,,,,
Arlette Ivette Munoz Cervantes,Mexico,1983.0,,Partido Accion Nacional (Mexico),female,,,,
Gabriela Medrano Galindo,Mexico,1983.0,,Partido Verde Ecologista (Mexico),female,,,,
Ptashnik Viktoriia Iuriyivna,Ukraine,1983.0,,Fraktsiia Politichnoyi Partiyi Ob Iednannia Samopomich (Ukraine),female,,,,
Lisa Badum,Germany,1983.0,,Alliance 90 The Greens (Germany),female,,,,
Stephanie Empain,Luxembourg,1983.0,,Dei Greng (Luxembourg),female,,,,
Corinna Miazga,Germany,1983.0,,Alternative For Germany (Germany),female,,,,
Femke Merel Van Kooten Arissen,Netherlands,1983.0,,Partij Voor De Dieren (Netherlands),female,,,18247.0,FemkeMerel
M Mhmwd Hmd Brhym Bd Llh,Egypt,1983.0,,Lmsryyn Lhrr (Egypt),female,,,,
Monika Khans Panaiotova,Bulgaria,1983.0,,Political Party Gerb (Bulgaria),female,,,,
Annie Loof,Sweden,1983.0,,Centerpartiet (Sweden),female,,,164362.0,annieloof
Katrin Albsteiger,Germany,1983.0,,CSU (Germany),female,,,10339.0,dieAlbsteigerin
Marie Le Vern,France,1983.0,,Parti Socialiste (France),female,,,,LEVERNMARIE
Kajsa Lunderquist,Sweden,1983.0,,Moderata Samlingspartiet (Sweden),female,,,,
Marketa Wernerova,Czech Republic,1983.0,,Poslanecky Klub Ceske Strany Socialne Demokraticke (Czech Republic),female,,,,
Ivana Nincevic Lesandric,Croatia,1983.0,,MOST (Croatia),female,,,,
Viktorija Cmilyte Nielsen,Lithuania,1983.0,,Liberalu Sajudzio Frakcija (Lithuania),female,,,12738.0,VCmilyte
Biljana Pantic Pilja,Serbia,1983.0,,Serbian Progressive Party (Serbia),female,,,,
Shin Bora,Korea,1983.0,,Jayuhangugdang (Korea),female,,,,
Ana Paola Agudelo Garcia,Colombia,1983.0,,Movimiento Mira (Colombia),female,,,,
Magdalena Gasior Marek,Poland,1983.0,,Klub Parlamentarny Platforma Obywatelska (Poland),female,,,,
Lena Nazaryan,Armenia,1983.0,,Mystep (Armenia),female,,,,
Mia Falkenberg,Denmark,1983.0,,The Danish People S Party (Denmark),female,,,,
Sofia Vikman,Finland,1983.0,,Kokoomus (Finland),female,,,6852.0,SofiaVikman
Esmeralda Shkjau,Albania,1983.0,,PS (Albania),female,,,,
Alexandra Louis,France,1983.0,,En Marche (France),female,,,,AlexandraL1303
Ana Belen Terron Berbel,Spain,1983.0,,G.p. Podemos En Comu Podem En Marea (Spain),female,,,14797.0,AnaTerron_
Magdalena Blenska,Poland,1983.0,,Poslowie Niezrzeszeni (Poland),female,,,,
Carole Grandjean,France,1983.0,,En Marche (France),female,,,,caroleem54
Katharina Kucharowits,Austria,1983.0,,SPO (Austria),female,,,4507.0,kathi_kuch
Sophie Lohde,Denmark,1983.0,,The Liberal Party (Denmark),female,,,28995.0,sophieloehde
Ane Halsboe Jorgensen,Denmark,1983.0,,The Social Democratic Party (Denmark),female,,,12751.0,AneHalsboe
Tanja Kovachev,North Macedonia,1983.0,,Social Democratic Union Of Macedonia (North Macedonia),female,,,,
Tunza Issa Malapo,Tanzania,1983.0,,Chama Cha Demokrasia Na Maendeleo (Tanzania),female,,,,
Kristina Yngwe,Sweden,1983.0,,Centerpartiet (Sweden),female,,,2924.0,KristinaYngwe
Akierra M. Missick,United Kingdom,1983.0,,PNP (Turks and Caicos Islands),female,,,,
Carla Guadalupe Reyes Montiel,Mexico,1983.0,,Partido De La Revolucion Democratica (Mexico),female,,,,
"Munde, Dr. Pritam Gopinath",India,1983.0,,Bharatiya Janata Party (India),female,,,,
Sanni Grahn Laasonen,Finland,1983.0,,Kokoomus (Finland),female,,,55691.0,sannigrahn
Emilie Guerel,France,1983.0,,En Marche (France),female,,,7296.0,eguerelLREM
Hawa Mchafu Chakoma,Tanzania,1983.0,,Chama Cha Mapinduzi (Tanzania),female,,,,
Gabriela Alejandra Rivadeneira Burbano,Ecuador,1983.0,,Alianza Pais (Ecuador),female,,,,gabrielaespais
Bjort Olafsdottir,Iceland,1983.0,,Bright Future (Iceland),female,,,,
Dr. Verna Gladies Merry Inkiriwang,Indonesia,1983.0,,Democrat Party Faction (Indonesia),female,,,,
Laura Lindahl,Denmark,1983.0,,Liberal Alliance (Denmark),female,,,6438.0,lauralindahl
